language,created_at,updated_at,checksum,language_support_type,game,id
22,1688586659,1688674436,56988834-0212-f0a2-a382-dd4db9bbed1b,3,253424,721698
20,1688586658,1688674436,1eabd46b-fe45-c7f4-308b-b94da1338b82,3,253424,721697
21,1688586658,1688674436,e15ca97e-9d3b-3b2f-d3f8-1bdceb681e92,3,253424,721696
19,1688586658,1688674436,c85725c0-5ec1-7b85-22f8-0ab23eb6be93,3,253424,721695
18,1688586658,1688674436,94e1c274-d384-2957-ca1a-66f1e1b26349,3,253424,721694
17,1688586658,1688674436,57808b20-374d-3cbf-4678-c700425a5b8f,3,253424,721693
16,1688586658,1688674436,12fcd81c-a092-95ba-9fa8-5cb81fb6cb2f,3,253424,721692
14,1688586658,1688674436,9e776b57-a37b-9f90-3c98-3681e0ad9fe4,3,253424,721691
11,1688586658,1688674436,fafe3567-fcd9-4a1b-ede7-f68b680efe1b,3,253424,721690
6,1688586658,1688674436,474985b0-0cbb-62a7-d708-f9413f9a15c8,3,253424,721689
5,1688586658,1688674436,dd7a6012-0341-5b4f-080b-6b7eea63d1b1,3,253424,721688
4,1688586658,1688674436,6a43729e-9db5-7d95-ef73-9bb363b07972,3,253424,721687
1,1688586658,1688674436,cee1c946-7486-16fb-e9cb-d84bed13c1fa,3,253424,721686
9,1688586658,1688674436,a16d9d4e-e7ca-a48b-2e0c-dd017d72719e,3,253424,721685
27,1688586658,1688674436,7b2f327b-ba26-2fa1-9224-1b956049bcfa,3,253424,721684
15,1688586658,1688674436,330bcf3a-4888-a8f7-82ac-05b759e7f889,3,253424,721683
16,1688583759,1688674435,8efcc63d-674d-7e4c-f05c-11065f42a70a,1,148696,721669
7,1688583759,1688674435,86dcf772-c6ce-5003-3130-096b46b7760a,1,148696,721668
9,1688583759,1688674435,6e975e9a-45d9-595c-fd75-5e535046d6a5,3,148696,721667
17,1688583759,1688674435,2c286105-e492-d04a-8a36-f2358455040c,3,148696,721666
16,1688583759,1688674435,c08e6ffc-8017-af9d-0c3a-d6ce1e5b1702,3,148696,721665
15,1688583758,1688674435,78622a00-c8b6-867c-67dd-94aad4f1a838,3,148696,721664
27,1688583758,1688674435,b408536f-eb2f-4e41-3deb-5069dd131be6,3,148696,721663
12,1688583758,1688674435,8a3c894b-6b80-51b9-f484-8bf8bb2141e1,3,148696,721662
7,1688583758,1688674435,df66655a-453e-7fdf-7d61-d0a720452c9b,3,148696,721661
3,1688583758,1688674435,a26a7339-d855-33f0-62d2-972c65741cc2,3,148696,721660
2,1688583758,1688674435,2e514a48-bc9b-59e9-384b-060e83bb75f7,3,148696,721659
3,1688586782,1688674423,b9427d19-c986-50fe-a0f6-e2681c1bbeae,2,218213,721708
2,1688586782,1688674423,c482141d-04be-a196-d1de-f45aca0374f4,2,218213,721707
15,1688649566,1688674414,27e227f6-35d9-5afe-4da6-c958ce635c01,3,57853,721744
7,1688655268,1688674408,815d70b1-0473-2782-6d8c-11e8e29f52ba,3,255694,721763
24,1688655296,1688674344,cdc7ca28-10b4-36af-803f-ee3b7cf56fd1,2,255695,721786
24,1688655296,1688674344,028d6f84-e8e9-c2e5-610d-18db304dbb33,3,255695,721785
22,1688655296,1688674344,fd1fcd13-643d-ca8a-26df-a359b262ea95,2,255695,721784
22,1688655296,1688674344,ae9adf3b-2e4a-15be-724c-555e9e30f3a1,3,255695,721783
20,1688655296,1688674344,391eaa64-7350-f022-a78d-34b419ca7fa7,2,255695,721782
20,1688655296,1688674344,62307e92-71f0-4130-1299-b79e37f168af,3,255695,721781
19,1688655296,1688674344,11405930-558e-63c4-7239-7da094c8da21,2,255695,721780
19,1688655296,1688674344,dce1b9df-0343-60d4-c1d5-63e25598bf60,3,255695,721779
16,1688655296,1688674344,f1fad741-234e-4f5c-189b-fde1b269276a,2,255695,721778
16,1688655296,1688674344,1a6bc4d5-d94e-50c8-d92c-309f2c23808d,3,255695,721777
2,1688655296,1688674344,b4e34436-5e5c-b203-2a70-e91ef76b3ea4,2,255695,721776
2,1688655296,1688674344,ed334760-3198-c675-10d8-6687df60518b,3,255695,721775
9,1688655296,1688674344,6404762e-f67f-2967-b91c-ad54b49497a2,2,255695,721774
9,1688655296,1688674344,af725326-3139-89f9-5e20-b25823dadbdd,3,255695,721773
27,1688655296,1688674344,50844a21-cf2d-2969-c0c6-0fabc8c65510,2,255695,721772
27,1688655296,1688674344,839a2410-4b6c-7020-a0d2-409b47dcf117,3,255695,721771
15,1688655296,1688674344,d7582908-1634-e305-1040-5ac99064a27c,2,255695,721770
15,1688655296,1688674344,d9bc5899-5e52-23db-7d30-aef61c18496a,3,255695,721769
12,1688655296,1688674344,674757bd-70c9-00a1-bc77-4f8b7e81e9f8,2,255695,721768
12,1688655295,1688674344,b8ad8db6-5c45-c296-2e38-73b7270b8e5b,3,255695,721767
7,1688655295,1688674344,2e34c7cd-2d38-821f-0f1d-982b188e7364,2,255695,721766
7,1688655295,1688674344,34fc2e16-3258-f4bb-2596-5d60bf39f658,1,255695,721765
7,1688655295,1688674344,971e0132-4125-9f37-6d87-b52ec92fc1d3,3,255695,721764
7,1688655361,1688674329,4af2e33c-64d5-8b5a-1082-661bd766ca35,2,255696,721789
7,1688655361,1688674329,2f834472-b4c9-0ffc-49d2-f4cf90194754,3,255696,721788
7,1688655456,1688674308,8fd2e087-b7b2-831d-8458-8f6279286e99,2,255697,721792
