url,published,change_date,change_date_category,developed,start_date,parent,logo,slug,name,checksum,websites,created_at,updated_at,description,country,changed_company_id,start_date_category,id
https://www.igdb.com/companies/sierra-entertainment,"[29, 132, 133, 222, 231, 232, 233, 250, 255, 297, 302, 309, 311, 313, 314, 316, 317, 319, 456, 517, 519, 729, 734, 735, 749, 750, 751, 792, 801, 803, 804, 805, 820, 845, 871, 897, 922, 937, 941, 958, 1189, 1190, 1191, 1196, 1256, 1336, 1581, 1582, 1583, 1584, 1606, 1607, 1609, 1932, 1934, 2030, 2910, 2911, 2913, 3081, 3876, 3946, 3954, 4004, 4011, 4091, 5023, 5139, 5182, 5640, 5868, 5904, 5913, 5986, 6331, 6332, 6333, 6359, 6450, 6738, 7322, 7416, 7508, 7510, 7511, 7512, 7723, 8277, 8319, 8346, 8828, 9215, 9256, 9542, 11028, 14486, 17255, 18219, 19214, 21773, 23017, 23765, 23818, 24492, 28048, 28062, 28064, 28065, 30391, 50470, 50915, 51933, 53999, 67015, 70233, 72137, 73516, 77261, 78216, 93071, 137478, 138362, 197928, 201347, 202149, 206652, 209098, 209100, 209247, 209251, 210070, 210073, 210229, 210444, 210445, 210446, 237394, 248520, 248620]",1230681600.0,2,"[29, 222, 2910, 2911, 7723, 8828, 23765, 36288, 67015, 209098, 209247]",291686400.0,,43.0,sierra-entertainment,Sierra Entertainment,0add3c78-d807-05ab-75ad-e067813f43d2,,1299352329,1688750925,"Sierra Entertainment, Inc. (formerly On-Line Systems and Sierra On-Line, Inc.) was an American video game developer and publisher. The company was founded in 1979 by Ken and Roberta Williams, and known for pioneering the graphic adventure game genre including the first such game, Roberta's Mystery House. The company is known for its graphical adventure game series King's Quest, Space Quest, Police Quest, Gabriel Knight, Leisure Suit Larry, and Quest for Glory.",840.0,,3,24
https://www.igdb.com/companies/norabako,,,7,,,,,norabako,Norabako,ffd786e8-2488-faee-6ca8-3f50b230693f,,1688747566,1688747566,,,,7,48475
https://www.igdb.com/companies/cannibal-goose,,,7,,,,,cannibal-goose,Cannibal Goose,20ea135f-9934-b53d-9c19-08b1aa7e8cac,,1688747532,1688747532,,,,7,48474
https://www.igdb.com/companies/ironwood-studios,,,7,[217592],1577750400.0,,,ironwood-studios,Ironwood Studios,6e35689b-75f4-435b-8518-9766e5186bb2,[6261],1663119468,1688745449,"Ironwood Studios is a Seattle based game development team made up of experienced developers with a long history in the industry. Driven forward by surreal settings and compelling gameplay that actually tells a story, we’ve been putting those values towards our first title.",840.0,,2,43201
https://www.igdb.com/companies/mighty-jungle-games-llc,,,7,,,,,mighty-jungle-games-llc,"Mighty Jungle Games, LLC",50e0044a-f658-f96a-9fdb-3f6df6e69937,,1688743790,1688743790,,,,7,48473
https://www.igdb.com/companies/mystic-games,,,7,,,,,mystic-games,MYSTiC GAMES,010ed813-5ea7-902e-61e2-694e0edb3a8d,,1688733470,1688733470,,,,7,48472
https://www.igdb.com/companies/sinners-lotion,,,7,,,,,sinners-lotion,Sinner's Lotion,dd77b84b-bb90-66fb-b35f-d0d4c8bc0a4b,,1688732711,1688732711,,,,7,48471
https://www.igdb.com/companies/deafperv,,,7,,,,,deafperv,Deafperv,e52f3eef-0b3d-37c1-f0d6-dc94d20afc02,,1688726789,1688726789,,,,7,48470
https://www.igdb.com/companies/pooky-games-ltd,,,7,,,,,pooky-games-ltd,Pooky Games Ltd,f19c4f18-ac5d-2c90-9f34-351c219321e6,,1688726567,1688726567,,,,7,48469
https://www.igdb.com/companies/progoolki,,,7,,,,,progoolki,progoolki,77a256ae-ba0b-0de0-8216-b7d17a484e44,,1688725533,1688725533,,,,7,48468
https://www.igdb.com/companies/omnidream-games,,,7,,,,,omnidream-games,OmniDream Games,890fb19f-bc24-ba7e-719e-65f2d4c1f6be,,1688712114,1688712114,,,,7,48467
https://www.igdb.com/companies/aether-studips,,,7,,,,,aether-studips,Aether Studips,ccce8587-7aab-d58f-e7f0-60eba922e919,,1688710388,1688710388,,,,7,48466
https://www.igdb.com/companies/metapixel,,,7,,,,,metapixel,METAPIXEL,4028360c-64dd-df1c-721b-c8ada524b935,,1688701304,1688701304,,,,7,48465
https://www.igdb.com/companies/monolith-productions,"[2474, 7833, 7844, 12464, 13154, 13155, 13225, 71795]",,7,"[517, 520, 594, 820, 897, 1005, 1012, 1336, 2474, 3025, 6217, 6942, 6943, 7644, 7892, 11265, 12464, 13225, 18500, 21596, 22886, 25773, 27421, 36299, 36986, 46450, 46451, 46711, 46919, 51358, 53050, 53068, 53358, 53359, 53360, 68381, 71795, 74507, 77261, 93645, 106764, 117985, 119397, 185245, 194772, 202149]",780969600.0,,1239.0,monolith-productions,Monolith Productions,38ddbdec-55b8-0f64-9f66-3926aef4d3ee,[871],1317627776,1688690207,"Monolith is a premier developer of video games based in Kirkland, Washington. Founded in 1994, and have a rich history of creating deeply engaging gaming experiences. 
 
They are known for the creation of Shadow of Mordor and it's Nemesis System. As well as Condemned: Criminal Origins and Condemned 2: Bloodshot.",840.0,,1,407
https://www.igdb.com/companies/blind-rooster,,,7,,,,,blind-rooster,Blind Rooster,da891677-d8ce-38e4-c24f-4eeed548285d,,1688678008,1688678008,,,,7,48464
