created_at,slug,name,updated_at,checksum,games,url,id
1688367484127,sakura-taisen,sakura taisen,1688367484,106a2271-303e-0f8b-8943-2b3c584f2cdc,,https://www.igdb.com/franchises/sakura-taisen,4706
1688338308567,my-next-life-as-a-villainess-all-routes-lead-to-doom,My Next Life as a Villainess: All Routes Lead to Doom!,1688338308,76212c62-fb85-dccf-8e42-48a68b3a3dce,,https://www.igdb.com/franchises/my-next-life-as-a-villainess-all-routes-lead-to-doom,4705
1688335505882,poggaming,PogGaming,1688335505,f4e5e5e9-2262-75fc-e1ce-d2c77015b16a,,https://www.igdb.com/franchises/poggaming,4704
1688257229330,sand-land,Sand Land,1688257229,c40bdf80-6741-4a21-12c5-fccc982009d1,[252480],https://www.igdb.com/franchises/sand-land,4702
1688101128450,princess-princess,Princess Princess,1688101128,98c08283-0732-7017-c64f-980f8721c078,,https://www.igdb.com/franchises/princess-princess,4697
1372654177757,akira,Akira,1688100453,dfaedc06-0613-1f4f-002c-db698e700438,"[2340, 14234, 26411, 248743, 248744]",https://www.igdb.com/franchises/akira,62
1388158348064,the-muppets,The Muppets,1688071302,079ec18b-b761-cd73-5027-25edda680891,"[3257, 3258, 3259, 3260, 3261, 198780, 198781, 230200]",https://www.igdb.com/franchises/the-muppets,146
1688022022224,formula-1,Formula 1,1688022022,b8178706-fe20-9e02-3a13-8f5c850e0609,,https://www.igdb.com/franchises/formula-1,4695
1375046598256,ben-10,Ben 10,1688000673,c65b16b2-3f7d-bdaf-172e-83ad203ee398,"[2799, 2800, 2801, 2802, 2803, 2806, 2807, 5310, 71455, 88305, 88937, 100278, 114145, 136659, 142388, 176854, 203149, 210256, 210263, 220589, 221061, 230343, 231387, 242828, 242835, 254211]",https://www.igdb.com/franchises/ben-10,101
1378156447956,ducktales,DuckTales,1688000622,ed29049c-c59c-985d-7ab7-ad6e68914a8e,"[2904, 6487, 6488, 8451, 78640, 140087, 145268, 145272, 198733, 254079]",https://www.igdb.com/franchises/ducktales,125
1389204938588,toy-story,Toy Story,1688000574,707753e9-de87-7e72-fd68-c1565c21b574,"[3619, 3883, 5240, 5241, 8020, 18944, 19675, 77330, 116973, 120517, 165581, 198945, 202117, 202118, 220099, 220267, 220268, 228497, 228498, 230076, 230329, 230398, 230424, 230554, 239203, 242994, 245504, 254066, 254263]",https://www.igdb.com/franchises/toy-story,157
